did,you
lot,of
was,the
for,the
for,a
of,the
dont,know
was,a
if,you
its,a
to,get
i,cant
have,a
as,a
in,my
on,the
and,i
with,the
was,a
i,think
im,not
at,least
you,are
have,a
when,i
a,lot
are,you
is,a
i,am
so,i
you,have
i,had
in,the
it,is
i,am
i,just
a,good
what,you
im,a
im,a
and,i
you,have
i,hate
when,you
you,know
i,was
like,my
to,do
that,i
its,not
have,to
you,cant
of,a
did,you
that,is
not,a
what,the
all,the
you,know
i,have
i,hatei,dont
is,that
the,same
i,think
i,got
want,to
i,like
if,i
going,to
this,is
in,a
want,to
dont,think
it,was
trying,to
out,of
to,the
need,to
its,a
yeah,i
you,should
you,can
i,was
lot,of
is,the
you,can
kind,of
is,a
its,not
not,a
going,to
i,would
on,a
if,it
sounds,like
if,you
had,a
you,are
i,like
the,fuck
he,was
the,only
i,know
i,love
i,can
and,the
for,a
people,who
kind,of
on,the
i,feel
would,be
i,have
i,didnt
at,the
i,dont
out,of
i,didnt
sounds,like
is,the
like,a
with,a
do,you
i,thought
you,could
to,be
a,girl
you,think
feel,like
i,guess
need,to
there,is
no,one
i,know
with,the
but,i
if,i
all,of
the,same
you,just
as,a
that,you
there,are
a,lot
i,can
to,be
the,best
you,get
that,was
dont,have
roses,are
the,first
like,a
in,the
have,to
at,least
a,good
i,had
like,the
im,not
if,youre
for,the
are,you
to,the
you,dont
i,love
the,only
you,dont
one,of
it,is
i,just
the,best
all,the
would,be
would,have
dont,know
that,is
this,is
i,feel
the,most
the,fuck
of,the
one,of
i,cant
they,are
would,you
when,i
but,i
in,a
i,thought
is,not
of,a
it,was
thats,a
with,a
i,guess
be,a
i,would
do,you
